idsbr,latitude,longitude,geocode_status,geom_wkt
14324691,0.1965970,109.1442000,0,"POINT(109.1442 0.196597)"
14325277,0.3816480,108.9484000,0,"POINT(108.9484 0.381648)"
14325282,0.3577800,108.9620000,0,"POINT(108.962 0.35778)"
14325411,0.3339110,108.9810000,0,"POINT(108.981 0.333911)"
14326527,0.3207640,109.0621000,0,"POINT(109.0621 0.320764)"
14326573,0.3343120,108.9763000,0,"POINT(108.9763 0.334312)"
14327003,0.3000310,109.0401000,0,"POINT(109.0401 0.300031)"
14327098,0.2712510,109.0994000,0,"POINT(109.0994 0.271251)"
14327237,0.3474170,108.9860000,0,"POINT(108.986 0.347417)"
14327408,0.3622920,109.1646000,0,"POINT(109.1646 0.362292)"
14327616,0.5810920,109.1138000,0,"POINT(109.1138 0.581092)"
14327826,0.3145120,109.1361000,0,"POINT(109.1361 0.314512)"
14328121,0.0997160,109.2039000,0,"POINT(109.2039 0.099716)"
14328560,0.3626980,108.9782000,0,"POINT(108.9782 0.362698)"
14328661,0.3520380,109.1817000,0,"POINT(109.1817 0.352038)"
14329209,0.1874940,109.2430000,0,"POINT(109.243 0.187494)"
14329805,0.2785720,109.0738000,0,"POINT(109.0738 0.278572)"
14329835,0.3610780,108.9601000,0,"POINT(108.9601 0.361078)"
14329867,0.3610260,108.9601000,0,"POINT(108.9601 0.361026)"
14330229,0.3608100,109.1663000,0,"POINT(109.1663 0.36081)"
14330885,0.3369120,108.9366000,0,"POINT(108.9366 0.336912)"
14331109,0.2918380,109.0985000,0,"POINT(109.0985 0.291838)"
14331116,0.3629490,108.9603000,0,"POINT(108.9603 0.362949)"
14331124,0.4061020,109.2093000,0,"POINT(109.2093 0.406102)"
14331171,0.5295440,108.9484000,0,"POINT(108.9484 0.529544)"
14331172,0.5299620,108.9483000,0,"POINT(108.9483 0.529962)"
14332107,0.3089380,109.0626000,0,"POINT(109.0626 0.308938)"
14332193,0.0868930,109.2377000,0,"POINT(109.2377 0.086893)"
14332454,0.3443920,109.1885000,0,"POINT(109.1885 0.344392)"
14333028,0.0869670,109.2384000,0,"POINT(109.2384 0.086967)"
14333464,0.6051560,109.1392000,0,"POINT(109.1392 0.605156)"
14333794,0.3655460,109.0012000,0,"POINT(109.0012 0.365546)"
14334677,0.5232280,108.9489000,0,"POINT(108.9489 0.523228)"
14335141,0.3194230,109.0673000,0,"POINT(109.0673 0.319423)"
14335456,0.4587920,108.9669000,0,"POINT(108.9669 0.458792)"
14335505,0.3405140,109.1863000,0,"POINT(109.1863 0.340514)"
14335750,0.0190810,109.2867000,0,"POINT(109.2867 0.019081)"
14335880,0.3009280,109.0956000,0,"POINT(109.0956 0.300928)"
14336263,0.3253580,109.1429000,0,"POINT(109.1429 0.325358)"
14336588,0.5556340,108.9257000,0,"POINT(108.9257 0.555634)"
14337524,0.3770290,108.9470000,0,"POINT(108.947 0.377029)"
14337525,0.2558700,109.1055000,0,"POINT(109.1055 0.25587)"
14337824,0.4775250,108.9185000,0,"POINT(108.9185 0.477525)"
14338414,0.3505250,108.9994000,0,"POINT(108.9994 0.350525)"
14338891,0.2797610,109.0743000,0,"POINT(109.0743 0.279761)"
14339001,0.4155350,109.2725000,0,"POINT(109.2725 0.415535)"
14339084,0.4624380,108.9335000,0,"POINT(108.9335 0.462438)"
14339249,0.1783200,109.1832000,0,"POINT(109.1832 0.17832)"
14339593,0.2669510,109.1130000,0,"POINT(109.113 0.266951)"
14339751,0.3581150,108.9588000,0,"POINT(108.9588 0.358115)"
14340013,0.2468430,109.1017000,0,"POINT(109.1017 0.246843)"
14340148,0.2385250,109.1088000,0,"POINT(109.1088 0.238525)"
14340611,0.0681780,109.2237000,0,"POINT(109.2237 0.068178)"
14340803,0.3843720,109.0091000,0,"POINT(109.0091 0.384372)"
17448095,0.3007260,109.0277000,0,"POINT(109.0277 0.300726)"
14341084,0.4967440,108.9113000,0,"POINT(108.9113 0.496744)"
14341135,0.4072930,108.9954000,0,"POINT(108.9954 0.407293)"
14341151,0.2762880,109.0803000,0,"POINT(109.0803 0.276288)"
14341303,0.2810090,109.0709000,0,"POINT(109.0709 0.281009)"
14341436,0.4452180,108.9657000,0,"POINT(108.9657 0.445218)"
14341624,0.2785830,109.0731000,0,"POINT(109.0731 0.278583)"
14341779,0.0218460,109.2683000,0,"POINT(109.2683 0.021846)"
14341911,0.2227150,109.1255000,0,"POINT(109.1255 0.222715)"
14342204,0.3256990,109.1897000,0,"POINT(109.1897 0.325699)"
14342570,0.2563320,109.0886000,0,"POINT(109.0886 0.256332)"
14342576,0.2554030,109.0897000,0,"POINT(109.0897 0.255403)"
14342730,0.3632370,108.9581000,0,"POINT(108.9581 0.363237)"
14343054,0.3275340,108.9540000,0,"POINT(108.954 0.327534)"
14343161,0.2727120,109.0860000,0,"POINT(109.086 0.272712)"
14343510,0.0651160,109.2006000,0,"POINT(109.2006 0.065116)"
14343620,0.6285720,109.2819000,0,"POINT(109.2819 0.628572)"
14343658,0.2758860,109.0729000,0,"POINT(109.0729 0.275886)"
14343758,0.3566360,108.9462000,0,"POINT(108.9462 0.356636)"
14344192,0.3443730,109.0456000,0,"POINT(109.0456 0.344373)"
15209209,0.5008766,108.9544913,0,"POINT(108.9544913 0.5008766)"
14344642,0.5258710,108.9482000,0,"POINT(108.9482 0.525871)"
14344669,0.2938390,109.1063000,0,"POINT(109.1063 0.293839)"
14344912,0.2979730,109.1136000,0,"POINT(109.1136 0.297973)"
14345293,0.3495650,109.2800000,0,"POINT(109.28 0.349565)"
14345772,0.2168580,109.1756000,0,"POINT(109.1756 0.216858)"
14346580,0.4541030,108.9379000,0,"POINT(108.9379 0.454103)"
14346855,0.3928790,108.9495000,0,"POINT(108.9495 0.392879)"
14347821,0.1575520,109.1965000,0,"POINT(109.1965 0.157552)"
14348070,0.5176670,109.1537000,0,"POINT(109.1537 0.517667)"
14348282,0.3105030,109.0115000,0,"POINT(109.0115 0.310503)"
14348607,0.3197010,109.1420000,0,"POINT(109.142 0.319701)"
14348654,0.5095530,109.1262000,0,"POINT(109.1262 0.509553)"
14350704,0.2380800,109.1074000,0,"POINT(109.1074 0.23808)"
14351114,0.4968020,108.9115000,0,"POINT(108.9115 0.496802)"
14351120,0.4968140,108.9115000,0,"POINT(108.9115 0.496814)"
14351158,0.3097920,109.0215000,0,"POINT(109.0215 0.309792)"
14351550,0.3342850,109.2503000,0,"POINT(109.2503 0.334285)"
14352095,0.5392310,108.9355000,0,"POINT(108.9355 0.539231)"
14352118,0.4968120,108.9115000,0,"POINT(108.9115 0.496812)"
14352515,0.3710560,108.9996000,0,"POINT(108.9996 0.371056)"
14353079,0.3192320,109.0650000,0,"POINT(109.065 0.319232)"
14353409,0.3929020,108.9496000,0,"POINT(108.9496 0.392902)"
14353714,0.2919760,109.1024000,0,"POINT(109.1024 0.291976)"
14354020,0.0267330,109.2696000,0,"POINT(109.2696 0.026733)"
14354110,0.1581180,109.2028000,0,"POINT(109.2028 0.158118)"
14354656,0.6195580,109.1804000,0,"POINT(109.1804 0.619558)"
14355537,0.3087660,109.0204000,0,"POINT(109.0204 0.308766)"
14356104,0.3018460,109.0261000,0,"POINT(109.0261 0.301846)"
14356449,0.6555820,109.1459000,0,"POINT(109.1459 0.655582)"
14356579,0.3817660,108.9487000,0,"POINT(108.9487 0.381766)"
14357011,0.4769790,108.9605000,0,"POINT(108.9605 0.476979)"
14357020,0.2431940,109.1086000,0,"POINT(109.1086 0.243194)"
14357467,0.0709820,109.2170000,0,"POINT(109.217 0.070982)"
14357506,0.5052940,108.9253000,0,"POINT(108.9253 0.505294)"
14403222,0.3309100,108.9754000,0,"POINT(108.9754 0.33091)"
14357527,0.4803570,108.9162000,0,"POINT(108.9162 0.480357)"
14357620,0.2896800,109.0991000,0,"POINT(109.0991 0.28968)"
14357784,0.6308590,109.1852000,0,"POINT(109.1852 0.630859)"
14358284,0.3962700,109.1953000,0,"POINT(109.1953 0.39627)"
14358446,0.2333290,109.1139000,0,"POINT(109.1139 0.233329)"
14358473,0.3790270,109.2010000,0,"POINT(109.201 0.379027)"
14359815,0.3267370,108.9729000,0,"POINT(108.9729 0.326737)"
14359823,0.3821270,109.1712000,0,"POINT(109.1712 0.382127)"
14360454,0.3892780,109.0116000,0,"POINT(109.0116 0.389278)"
14360511,0.3478630,108.9882000,0,"POINT(108.9882 0.347863)"
14360521,0.1241660,109.2437000,0,"POINT(109.2437 0.124166)"
14360877,0.2540520,109.0934000,0,"POINT(109.0934 0.254052)"
14360878,0.2539840,109.0940000,0,"POINT(109.094 0.253984)"
14361139,0.3963810,108.9491000,0,"POINT(108.9491 0.396381)"
14361415,0.4983800,108.9509000,0,"POINT(108.9509 0.49838)"
14362422,0.3481650,108.9646000,0,"POINT(108.9646 0.348165)"
14362565,0.0339480,109.2896000,0,"POINT(109.2896 0.033948)"
14362592,0.3213340,109.0031000,0,"POINT(109.0031 0.321334)"
14362807,0.0644550,109.2017000,0,"POINT(109.2017 0.064455)"
14363079,0.5549810,108.9275000,0,"POINT(108.9275 0.554981)"
14363094,0.3443390,109.0007000,0,"POINT(109.0007 0.344339)"
14363362,0.2803980,109.0772000,0,"POINT(109.0772 0.280398)"
14363749,0.1522400,109.1607000,0,"POINT(109.1607 0.15224)"
14364582,0.5424700,108.9233000,0,"POINT(108.9233 0.54247)"
14364669,0.5251830,108.9222000,0,"POINT(108.9222 0.525183)"
14365509,0.3308100,109.2226000,0,"POINT(109.2226 0.33081)"
14365665,0.3319920,109.1499000,0,"POINT(109.1499 0.331992)"
14365700,0.2608240,109.0955000,0,"POINT(109.0955 0.260824)"
14365829,0.1610790,109.2020000,0,"POINT(109.202 0.161079)"
14366088,0.3631220,108.9612000,0,"POINT(108.9612 0.363122)"
14366095,0.0621270,109.2036000,0,"POINT(109.2036 0.062127)"
14366734,0.5560940,108.9260000,0,"POINT(108.926 0.556094)"
14366828,0.1594390,109.2051000,0,"POINT(109.2051 0.159439)"
14367137,0.3517890,109.0084000,0,"POINT(109.0084 0.351789)"
14367904,0.3909020,108.9499000,0,"POINT(108.9499 0.390902)"
14367929,0.3655200,108.9899000,0,"POINT(108.9899 0.36552)"
14368675,0.3274640,108.9729000,0,"POINT(108.9729 0.327464)"
14369098,0.3617310,108.9611000,0,"POINT(108.9611 0.361731)"
14369227,0.3773530,108.9544000,0,"POINT(108.9544 0.377353)"
14369486,0.3383150,109.1868000,0,"POINT(109.1868 0.338315)"
14369548,0.3723270,108.9623000,0,"POINT(108.9623 0.372327)"
14370794,0.4962720,108.9234000,0,"POINT(108.9234 0.496272)"
14370858,0.1365190,109.1607000,0,"POINT(109.1607 0.136519)"
14370908,0.3272680,109.1479000,0,"POINT(109.1479 0.327268)"
14370992,0.1488930,109.1793000,0,"POINT(109.1793 0.148893)"
14371286,0.5112770,108.9510000,0,"POINT(108.951 0.511277)"
14372393,0.3788660,108.9652000,0,"POINT(108.9652 0.378866)"
14372406,0.3788470,108.9652000,0,"POINT(108.9652 0.378847)"
14372421,0.4420020,108.9437000,0,"POINT(108.9437 0.442002)"
14372800,0.3528340,109.1632000,0,"POINT(109.1632 0.352834)"
