kk,gid,ikn,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,idsubsls,kdsubsls,nm_gedung,wil_campur
,"617415","0",,11.5819128059496,,"61040800032002","04","080","2002",MEMPAWAH,JONGKAT,PULAU PANJANG,,"003","61",,,WAJOK HILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080003200200","00",,
,"617414","0",,5.73950832761744,,"61041100062001","04","110","2001",MEMPAWAH,SUNGAI KUNYIT,PULAU TEMAJO,,"006","61",,,SUNGAI KUNYIT LAUT,KALIMANTAN BARAT,,,,,,2024_1,,"6104110006200100","00",,
,"617413","0",,0.010067054794584,,"61040810060002","04","081","0002",MEMPAWAH,SEGEDONG,RT 001B RW 001 DUSUN KARYA UTAMA,,"006","61",,,PENITI DALAM II,KALIMANTAN BARAT,,,,,,2024_1,,"6104081006000200","00",,
,"617412","0",,38.1946407229396,,"61041210042003","04","121","2003",MEMPAWAH,SADANIANG,HUTAN,,"004","61",,,AMAWANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104121004200300","00",,
,"617427","0",,2.38051890623971,,"61040810060003","04","081","0003",MEMPAWAH,SEGEDONG,RT 002 RW 001 DUSUN KARYA UTAMA,,"006","61",,,PENITI DALAM II,KALIMANTAN BARAT,,,,,,2024_1,,"6104081006000300","00",,
,"617411","0",,0.796428748594603,,"61041210030006","04","121","0006",MEMPAWAH,SADANIANG,RT 013 RW 02 DUSUN SATAK,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003000600","00",,
,"617410","0",,0.619208277607603,,"61041210060008","04","121","0008",MEMPAWAH,SADANIANG,RT 006 RW 03 DUSUN GURO,,"006","61",,,SUAK BARANGAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121006000800","00",,
,"617409","0",,0.660324590316097,,"61041200070006","04","120","0006",MEMPAWAH,TOHO,RT 012 RW 02 DUSUN TERAP,,"007","61",,,TERAP,KALIMANTAN BARAT,,,,,,2024_1,,"6104120007000600","00",,
,"617408","0",,0.368007057342565,,"61041200030009","04","120","0009",MEMPAWAH,TOHO,RT 009 RW 03 DUSUN BOBOK,,"003","61",,,BENUANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120003000900","00",,
,"617407","0",,0.613985015159254,,"61041200030008","04","120","0008",MEMPAWAH,TOHO,RT 008 RW 03 DUSUN BOBOK,,"003","61",,,BENUANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120003000800","00",,
